ticker,total_score,roe_score,roic_score,margin_score,trend_score,health_score,cash_score,pass,current_price,intrinsic_value,gap_pct,recommendation,avg_roe,avg_roic,avg_net_margin,avg_fcf_margin,debt_ratio,eps_cagr,years_data,trust_grade,trust_grade_text,trust_grade_stars,pass_reason,valuation_reason
DECK,91,25,20,12,12,15,7,PASS,99.97,255.343168164599,155.41979410282985,BUY,33.281080126585856,22.79900473467937,16.421616553330814,14.417031137946253,42.07057424692988,32.68183617088014,4,1,1등급,★★★★★,"[DECK - 총점 91점 / 신뢰등급 1등급 ★★★★★]

✅ 우량주 통과 이유 (4년 데이터 기준):

- ROE 지속성: 25/25점 - 4년 평균 ROE 33.3%, 지속적 고수익성 달성
- ROIC 지속성: 20/20점 - 4년 평균 ROIC 22.8%, 투자 효율성 우수
- Net Margin 안정: 12/15점 - 평균 16.4%, 수익성 안정적
- 수익성 추세: 12/15점 - 최근 수익성 지속 개선 중 (성장 중 📈)
- 재무 건전성: 15/15점 - 부채비율 42.1%, 매우 건전한 재무구조
- 현금창출력: 7/10점 - FCF Margin 14.4%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 우수한 자본효율, 성장 추세, 건전한 재무, 강한 현금창출","[DECK - 적정가 분석]

📊 현재 상황:
   • 현재가: $99.97
   • 적정가: $255.34
   • 상승여력: +155.4%

💰 저평가 근거:

- 높은 성장성: 최근 4년간 EPS 연평균 32.7% 성장
- 성장주 프리미엄: PER 18배 적용 (고성장 기업)
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 155% 저평가 상태
   • 강력한 매수 기회 (2배 이상 상승 여력)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
ADBE,90,25,20,15,15,5,10,PASS,302.71,438.66494135313906,44.912603268190374,BUY,41.86794472009294,20.026552156081816,27.70785822403311,38.95858881630262,153.7726920760561,18.249242076044215,4,1,1등급,★★★★★,"[ADBE - 총점 90점 / 신뢰등급 1등급 ★★★★★]

✅ 우량주 통과 이유 (4년 데이터 기준):

- ROE 지속성: 25/25점 - 4년 평균 ROE 41.9%, 지속적 고수익성 달성
- ROIC 지속성: 20/20점 - 4년 평균 ROIC 20.0%, 투자 효율성 우수
- Net Margin 안정: 15/15점 - 평균 27.7%, 수익성 매우 안정적
- 수익성 추세: 15/15점 - 최근 수익성 지속 개선 중 (성장 중 📈)
- 재무 건전성: 5/15점 - 부채비율 153.8%
- 현금창출력: 10/10점 - FCF Margin 39.0%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 우수한 자본효율, 안정적 수익구조, 성장 추세, 강한 현금창출","[ADBE - 적정가 분석]

📊 현재 상황:
   • 현재가: $302.71
   • 적정가: $438.66
   • 상승여력: +44.9%

💰 저평가 근거:

- 높은 성장성: 최근 4년간 EPS 연평균 18.2% 성장
- 성장주 프리미엄: PER 18배 적용 (고성장 기업)
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 45% 저평가 상태
   • 양호한 매수 기회 (20% 이상 상승 여력)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
V,87,25,20,15,12,5,10,PASS,327.27,153.16282190261933,-53.19985886191239,WAIT,47.49707904577082,19.93893437038197,52.25716392690924,56.82330662278553,162.80566620063837,13.370669304847693,4,1,1등급,★★★★★,"[V - 총점 87점 / 신뢰등급 1등급 ★★★★★]

✅ 우량주 통과 이유 (4년 데이터 기준):

- ROE 지속성: 25/25점 - 4년 평균 ROE 47.5%, 지속적 고수익성 달성
- ROIC 지속성: 20/20점 - 4년 평균 ROIC 19.9%, 투자 효율성 우수
- Net Margin 안정: 15/15점 - 평균 52.3%, 수익성 매우 안정적
- 수익성 추세: 12/15점 - 최근 수익성 지속 개선 중 (성장 중 📈)
- 재무 건전성: 5/15점 - 부채비율 162.8%
- 현금창출력: 10/10점 - FCF Margin 56.8%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 우수한 자본효율, 안정적 수익구조, 성장 추세, 강한 현금창출","[V - 적정가 분석]

📊 현재 상황:
   • 현재가: $327.27
   • 적정가: $153.16
   • 상승여력: +-53.2%

💰 저평가 근거:

- 안정적 성장: 최근 4년간 EPS 연평균 13.4% 성장
- 중성장주 평가: PER 12배 적용
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 -53% 저평가 상태
   • 적정가 근접 (상승 여력 제한적)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
NVDA,85,25,10,10,15,15,10,PASS,191.705,563.9782556990232,194.19068657521876,BUY,54.38163614081712,36.24566090386142,39.28116929898887,33.829303783140816,40.68476054811098,96.9225875024258,4,1,1등급,★★★★★,"[NVDA - 총점 85점 / 신뢰등급 1등급 ★★★★★]

✅ 우량주 통과 이유 (4년 데이터 기준):

- ROE 지속성: 25/25점 - 4년 평균 ROE 54.4%, 지속적 고수익성 달성
- ROIC 지속성: 10/20점 - 평균 ROIC 36.2%, 양호한 자본 수익성
- Net Margin 안정: 10/15점 - 평균 39.3%, 수익성 안정적
- 수익성 추세: 15/15점 - 최근 수익성 지속 개선 중 (성장 중 📈)
- 재무 건전성: 15/15점 - 부채비율 40.7%, 매우 건전한 재무구조
- 현금창출력: 10/10점 - FCF Margin 33.8%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 성장 추세, 건전한 재무, 강한 현금창출","[NVDA - 적정가 분석]

📊 현재 상황:
   • 현재가: $191.71
   • 적정가: $563.98
   • 상승여력: +194.2%

💰 저평가 근거:

- 높은 성장성: 최근 4년간 EPS 연평균 96.9% 성장
- 성장주 프리미엄: PER 18배 적용 (고성장 기업)
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 194% 저평가 상태
   • 강력한 매수 기회 (2배 이상 상승 여력)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
TPL,85,25,20,15,0,15,10,PASS,345.45,54.824904852942794,-84.12942398235843,WAIT,45.57446474811473,39.03653211548599,65.14014238978648,44.34302555022316,10.203847359521045,1.1958922892933765,3,2,2등급,★★★★☆,"[TPL - 총점 85점 / 신뢰등급 2등급 ★★★★☆]

✅ 우량주 통과 이유 (3년 데이터 기준):

- ROE 지속성: 25/25점 - 3년 평균 ROE 45.6%, 지속적 고수익성 달성
- ROIC 지속성: 20/20점 - 3년 평균 ROIC 39.0%, 투자 효율성 우수
- Net Margin 안정: 15/15점 - 평균 65.1%, 수익성 매우 안정적
- 수익성 추세: 0/15점 - 추세 변동 있음
- 재무 건전성: 15/15점 - 부채비율 10.2%, 매우 건전한 재무구조
- 현금창출력: 10/10점 - FCF Margin 44.3%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 우수한 자본효율, 안정적 수익구조, 건전한 재무, 강한 현금창출","[TPL - 적정가 분석]

📊 현재 상황:
   • 현재가: $345.45
   • 적정가: $54.82
   • 상승여력: +-84.1%

💰 저평가 근거:

- 완만한 성장: 최근 3년간 EPS 연평균 1.2% 성장
- 안정주 평가: PER 10배 적용
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 -84% 저평가 상태
   • 적정가 근접 (상승 여력 제한적)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
MKTX,85,25,20,15,0,15,10,PASS,169.33,68.30894230094732,-59.65927933564795,WAIT,20.949390587845045,14.623437370887702,34.22732249864176,36.883718252797,28.844785620670287,4.629672756119385,3,2,2등급,★★★★☆,"[MKTX - 총점 85점 / 신뢰등급 2등급 ★★★★☆]

✅ 우량주 통과 이유 (3년 데이터 기준):

- ROE 지속성: 25/25점 - 3년 평균 ROE 20.9%, 지속적 고수익성 달성
- ROIC 지속성: 20/20점 - 3년 평균 ROIC 14.6%, 투자 효율성 우수
- Net Margin 안정: 15/15점 - 평균 34.2%, 수익성 매우 안정적
- 수익성 추세: 0/15점 - 추세 변동 있음
- 재무 건전성: 15/15점 - 부채비율 28.8%, 매우 건전한 재무구조
- 현금창출력: 10/10점 - FCF Margin 36.9%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 우수한 자본효율, 안정적 수익구조, 건전한 재무, 강한 현금창출","[MKTX - 적정가 분석]

📊 현재 상황:
   • 현재가: $169.33
   • 적정가: $68.31
   • 상승여력: +-59.7%

💰 저평가 근거:

- 완만한 성장: 최근 3년간 EPS 연평균 4.6% 성장
- 안정주 평가: PER 10배 적용
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 -60% 저평가 상태
   • 적정가 근접 (상승 여력 제한적)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
MNST,85,25,20,15,0,15,10,PASS,81.02,45.66137708262951,-43.64184512141507,WAIT,20.704144934749653,16.451396175935795,20.621550271439684,17.70794858242395,29.564524537750863,20.536915432836512,3,2,2등급,★★★★☆,"[MNST - 총점 85점 / 신뢰등급 2등급 ★★★★☆]

✅ 우량주 통과 이유 (3년 데이터 기준):

- ROE 지속성: 25/25점 - 3년 평균 ROE 20.7%, 지속적 고수익성 달성
- ROIC 지속성: 20/20점 - 3년 평균 ROIC 16.5%, 투자 효율성 우수
- Net Margin 안정: 15/15점 - 평균 20.6%, 수익성 매우 안정적
- 수익성 추세: 0/15점 - 추세 변동 있음
- 재무 건전성: 15/15점 - 부채비율 29.6%, 매우 건전한 재무구조
- 현금창출력: 10/10점 - FCF Margin 17.7%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 우수한 자본효율, 안정적 수익구조, 건전한 재무, 강한 현금창출","[MNST - 적정가 분석]

📊 현재 상황:
   • 현재가: $81.02
   • 적정가: $45.66
   • 상승여력: +-43.6%

💰 저평가 근거:

- 높은 성장성: 최근 3년간 EPS 연평균 20.5% 성장
- 성장주 프리미엄: PER 18배 적용 (고성장 기업)
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 -44% 저평가 상태
   • 적정가 근접 (상승 여력 제한적)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
RMD,85,25,20,15,0,15,10,PASS,257.51,106.92059371458711,-58.47905179814876,WAIT,21.97173607362035,15.269769736709591,21.6093114054398,15.384402438633861,41.28974599936719,14.265496864035487,3,2,2등급,★★★★☆,"[RMD - 총점 85점 / 신뢰등급 2등급 ★★★★☆]

✅ 우량주 통과 이유 (3년 데이터 기준):

- ROE 지속성: 25/25점 - 3년 평균 ROE 22.0%, 지속적 고수익성 달성
- ROIC 지속성: 20/20점 - 3년 평균 ROIC 15.3%, 투자 효율성 우수
- Net Margin 안정: 15/15점 - 평균 21.6%, 수익성 매우 안정적
- 수익성 추세: 0/15점 - 추세 변동 있음
- 재무 건전성: 15/15점 - 부채비율 41.3%, 매우 건전한 재무구조
- 현금창출력: 10/10점 - FCF Margin 15.4%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 우수한 자본효율, 안정적 수익구조, 건전한 재무, 강한 현금창출","[RMD - 적정가 분석]

📊 현재 상황:
   • 현재가: $257.51
   • 적정가: $106.92
   • 상승여력: +-58.5%

💰 저평가 근거:

- 안정적 성장: 최근 3년간 EPS 연평균 14.3% 성장
- 중성장주 평가: PER 12배 적용
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 -58% 저평가 상태
   • 적정가 근접 (상승 여력 제한적)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
TROW,85,25,20,15,0,15,10,PASS,104.6,230.174931416137,120.05251569420365,BUY,18.91415400416597,15.147816585619246,27.10093779544374,21.533037305651657,19.54395190132813,16.86195453572754,3,2,2등급,★★★★☆,"[TROW - 총점 85점 / 신뢰등급 2등급 ★★★★☆]

✅ 우량주 통과 이유 (3년 데이터 기준):

- ROE 지속성: 25/25점 - 3년 평균 ROE 18.9%, 지속적 고수익성 달성
- ROIC 지속성: 20/20점 - 3년 평균 ROIC 15.1%, 투자 효율성 우수
- Net Margin 안정: 15/15점 - 평균 27.1%, 수익성 매우 안정적
- 수익성 추세: 0/15점 - 추세 변동 있음
- 재무 건전성: 15/15점 - 부채비율 19.5%, 매우 건전한 재무구조
- 현금창출력: 10/10점 - FCF Margin 21.5%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 우수한 자본효율, 안정적 수익구조, 건전한 재무, 강한 현금창출","[TROW - 적정가 분석]

📊 현재 상황:
   • 현재가: $104.60
   • 적정가: $230.17
   • 상승여력: +120.1%

💰 저평가 근거:

- 높은 성장성: 최근 3년간 EPS 연평균 16.9% 성장
- 성장주 프리미엄: PER 18배 적용 (고성장 기업)
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 120% 저평가 상태
   • 강력한 매수 기회 (2배 이상 상승 여력)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
CPRT,85,25,20,15,0,15,10,PASS,40.8226,22.88842754189302,-43.93197017854566,WAIT,19.813370817850128,16.81272124140874,32.17599793124489,23.764155276399357,9.615846595957585,12.057146804226226,4,1,1등급,★★★★★,"[CPRT - 총점 85점 / 신뢰등급 1등급 ★★★★★]

✅ 우량주 통과 이유 (4년 데이터 기준):

- ROE 지속성: 25/25점 - 4년 평균 ROE 19.8%, 지속적 고수익성 달성
- ROIC 지속성: 20/20점 - 4년 평균 ROIC 16.8%, 투자 효율성 우수
- Net Margin 안정: 15/15점 - 평균 32.2%, 수익성 매우 안정적
- 수익성 추세: 0/15점 - 추세 변동 있음
- 재무 건전성: 15/15점 - 부채비율 9.6%, 매우 건전한 재무구조
- 현금창출력: 10/10점 - FCF Margin 23.8%, 우수한 현금창출력 💰

💡 투자 포인트: 지속적 고수익성, 우수한 자본효율, 안정적 수익구조, 건전한 재무, 강한 현금창출","[CPRT - 적정가 분석]

📊 현재 상황:
   • 현재가: $40.82
   • 적정가: $22.89
   • 상승여력: +-43.9%

💰 저평가 근거:

- 안정적 성장: 최근 4년간 EPS 연평균 12.1% 성장
- 중성장주 평가: PER 12배 적용
- 보수적 추정: 과거 성장률의 70%만 반영하여 미래 5년 추정
- 안전마진 20%: 이론적 가치의 80%를 적정가로 산정

🎯 매수 포인트:
   • 현재 주가는 적정가 대비 -44% 저평가 상태
   • 적정가 근접 (상승 여력 제한적)
   • 우량주 펀더멘털 + 저평가 = 황금 투자 기회 💰
"
